user_played, instrument_name, velocity, pitch, start (s), end (s)
True,flute,80,72,0.0,0.49895833333333334
True,flute,80,69,0.5,0.9989583333333333
True,flute,80,72,1.0,1.2489583333333334
True,flute,80,70,1.25,1.4989583333333334
True,flute,80,69,1.5,1.7489583333333334
True,flute,80,67,1.75,1.9989583333333334
True,flute,80,69,2.0,2.4989583333333334
True,flute,80,65,2.5,2.9989583333333334
True,flute,80,67,3.0,3.4989583333333334
True,flute,80,60,3.5,3.9989583333333334
True,flute,80,65,4.0,4.248958333333333
True,flute,80,67,4.25,4.498958333333333
True,flute,80,69,4.5,4.748958333333333
True,flute,80,70,4.75,4.998958333333333
True,flute,80,72,5.0,5.498958333333333
True,flute,80,72,5.5,5.748958333333333
True,flute,80,74,5.75,5.998958333333333
True,flute,80,72,6.0,7.498958333333333
True,flute,80,72,8.0,8.498958333333333
True,flute,80,69,8.5,8.998958333333333
True,flute,80,72,9.0,9.248958333333333
True,flute,80,70,9.25,9.498958333333333
True,flute,80,69,9.5,9.748958333333333
True,flute,80,67,9.75,9.998958333333333
True,flute,80,69,10.0,10.498958333333333
True,flute,80,65,10.5,10.998958333333333
True,flute,80,67,11.0,11.498958333333333
True,flute,80,60,11.5,11.998958333333333
True,flute,80,65,12.0,12.248958333333333
True,flute,80,67,12.25,12.498958333333333
True,flute,80,69,12.5,12.748958333333333
True,flute,80,70,12.75,12.998958333333333
True,flute,80,69,13.0,13.498958333333333
True,flute,80,67,13.5,13.998958333333333
True,flute,80,65,14.0,15.498958333333333
True,flute,80,67,16.0,16.498958333333334
True,flute,80,64,16.5,16.998958333333334
True,flute,80,67,17.0,17.248958333333334
True,flute,80,65,17.25,17.498958333333334
True,flute,80,64,17.5,17.748958333333334
True,flute,80,62,17.75,17.998958333333334
True,flute,80,64,18.0,18.498958333333334
True,flute,80,60,18.5,18.998958333333334
True,flute,80,62,19.0,19.498958333333334
True,flute,80,67,19.5,19.998958333333334
True,flute,80,60,20.0,20.248958333333334
True,flute,80,62,20.25,20.498958333333334
True,flute,80,64,20.5,20.748958333333334
True,flute,80,65,20.75,20.998958333333334
True,flute,80,67,21.0,21.498958333333334
True,flute,80,67,21.5,21.748958333333334
True,flute,80,69,21.75,21.998958333333334
True,flute,80,67,22.0,23.498958333333334
True,flute,80,67,24.0,24.498958333333334
True,flute,80,64,24.5,24.998958333333334
True,flute,80,67,25.0,25.248958333333334
True,flute,80,65,25.25,25.498958333333334
True,flute,80,64,25.5,25.748958333333334
True,flute,80,62,25.75,25.998958333333334
True,flute,80,64,26.0,26.498958333333334
True,flute,80,60,26.5,26.998958333333334
True,flute,80,62,27.0,27.498958333333334
True,flute,80,67,27.5,27.998958333333334
True,flute,80,60,28.0,28.248958333333334
True,flute,80,62,28.25,28.498958333333334
True,flute,80,64,28.5,28.748958333333334
True,flute,80,65,28.75,28.998958333333334
True,flute,80,64,29.0,29.498958333333334
True,flute,80,62,29.5,29.998958333333334
True,flute,80,60,30.0,31.498958333333334
