user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,80,78,0.0,1.2024641875000002
True,piano,80,49,0.0,0.1989435625
True,piano,80,56,0.21126750000000002,0.41021106250000006
True,piano,80,61,0.42253500000000005,0.6214785625
True,piano,80,64,0.6338025,1.0334501875000002
True,piano,80,61,1.0563375000000002,1.2552810625000002
False,piano,80,76,1.267605,2.8714774375000003
True,piano,80,56,1.267605,1.4665485625
True,piano,80,52,1.4788725,1.6778160625
True,piano,80,54,1.6901400000000002,1.8890835625000002
True,piano,80,57,1.9014075000000001,2.1003510625
True,piano,80,61,2.1126750000000003,2.3116185625
True,piano,80,68,2.3239425000000002,2.7235901875
True,piano,80,66,2.7464775,2.9454210625000004
False,piano,80,75,2.957745,3.3573926875000004
True,piano,80,63,2.957745,3.1566885625000003
True,piano,80,64,3.1690125,3.3679560625000002
False,piano,80,78,3.3802800000000004,4.5827441875
True,piano,80,57,3.3802800000000004,3.5792235625
True,piano,80,61,3.5915475000000003,3.7904910625
True,piano,80,63,3.8028150000000003,4.0017585625
True,piano,80,66,4.014082500000001,4.413730187500001
True,piano,80,63,4.4366175000000005,4.6355610625
False,piano,80,76,4.6478850000000005,5.448940937500001
True,piano,80,57,4.6478850000000005,4.846828562500001
True,piano,80,54,4.8591525,5.058096062500001
True,piano,80,56,5.07042,5.269363562500001
True,piano,80,60,5.2816875,5.4806310625000005
False,piano,80,75,5.492955,6.695419187500001
True,piano,80,63,5.492955,5.6918985625000005
True,piano,80,66,5.7042225,5.9031660625
True,piano,80,68,5.91549,6.1144335625
True,piano,80,63,6.1267575,6.3257010625
True,piano,80,60,6.338025,6.5369685625
True,piano,80,63,6.549292500000001,6.7482360625
False,piano,80,78,6.760560000000001,7.9630241875
True,piano,80,49,6.760560000000001,6.9595035625
True,piano,80,56,6.971827500000001,7.1707710625
True,piano,80,61,7.183095000000001,7.382038562500001
True,piano,80,64,7.394362500000001,7.7940101875000005
True,piano,80,61,7.8168975000000005,8.0158410625
False,piano,80,76,8.028165000000001,10.0334456875
True,piano,80,56,8.028165000000001,8.2271085625
True,piano,80,52,8.239432500000001,8.4383760625
True,piano,80,54,8.450700000000001,8.649643562500001
True,piano,80,57,8.661967500000001,8.860911062500001
True,piano,80,61,8.873235000000001,9.072178562500001
True,piano,80,68,9.084502500000001,9.484150187500001
True,piano,80,66,9.507037500000001,9.705981062500001
True,piano,80,68,9.718305,9.917248562500001
True,piano,80,69,9.9295725,10.128516062500001
False,piano,80,75,10.14084,11.343304187500001
True,piano,80,68,10.14084,10.339783562500001
True,piano,80,57,10.3521075,10.551051062500001
True,piano,80,63,10.563375,10.7623185625
True,piano,80,66,10.7746425,11.1742901875
True,piano,80,63,11.1971775,11.3961210625
False,piano,80,72,11.408445,12.6109091875
True,piano,80,60,11.408445,11.6073885625
True,piano,80,54,11.6197125,11.8186560625
True,piano,80,56,11.83098,12.0299235625
True,piano,80,60,12.0422475,12.2411910625
True,piano,80,66,12.253515,12.4524585625
True,piano,80,63,12.4647825,12.6637260625
False,piano,80,68,12.67605,13.477105937500001
True,piano,80,63,12.887317500000002,13.0862610625
True,piano,80,60,13.098585000000002,13.2975285625
True,piano,80,63,13.309852500000002,13.5087960625
False,piano,80,78,13.521120000000002,14.7235841875
True,piano,80,49,13.521120000000002,13.720063562500002
True,piano,80,56,13.732387500000002,13.931331062500002
True,piano,80,61,13.943655000000001,14.142598562500002
True,piano,80,64,14.154922500000001,14.554570187500001
True,piano,80,61,14.577457500000001,14.776401062500002
False,piano,80,76,14.788725000000001,16.3925974375
True,piano,80,56,14.788725000000001,14.987668562500001
True,piano,80,52,14.999992500000001,15.198936062500001
True,piano,80,54,15.211260000000001,15.410203562500001
True,piano,80,57,15.422527500000001,15.621471062500001
True,piano,80,61,15.633795000000001,15.832738562500001
True,piano,80,68,15.845062500000001,16.2447101875
True,piano,80,66,16.2675975,16.466541062500003
False,piano,80,75,16.478865000000003,16.878512687500002
True,piano,80,63,16.478865000000003,16.6778085625
True,piano,80,64,16.6901325,16.889076062500003
False,piano,80,78,16.901400000000002,18.1038641875
True,piano,80,57,16.901400000000002,17.1003435625
True,piano,80,61,17.1126675,17.311611062500003
True,piano,80,63,17.323935000000002,17.5228785625
True,piano,80,66,17.5352025,17.9348501875
True,piano,80,63,17.9577375,18.156681062500002
False,piano,80,76,18.169005000000002,18.9700609375
True,piano,80,57,18.169005000000002,18.3679485625
True,piano,80,54,18.3802725,18.579216062500002
True,piano,80,56,18.591540000000002,18.7904835625
True,piano,80,60,18.8028075,19.001751062500002
False,piano,80,75,19.014075000000002,20.2165391875
True,piano,80,63,19.014075000000002,19.2130185625
True,piano,80,66,19.2253425,19.424286062500002
True,piano,80,68,19.43661,19.6355535625
True,piano,80,63,19.6478775,19.846821062500002
True,piano,80,60,19.859145,20.0580885625
True,piano,80,63,20.0704125,20.2693560625
False,piano,80,78,20.28168,21.4841441875
True,piano,80,49,20.28168,20.4806235625
True,piano,80,56,20.492947500000003,20.6918910625
True,piano,80,61,20.704215,20.9031585625
True,piano,80,64,20.915482500000003,21.315130187500003
True,piano,80,61,21.338017500000003,21.5369610625
False,piano,80,76,21.549285,23.554565687500002
True,piano,80,56,21.549285,21.748228562500003
True,piano,80,52,21.760552500000003,21.9594960625
True,piano,80,54,21.97182,22.170763562500003
True,piano,80,57,22.183087500000003,22.3820310625
True,piano,80,61,22.394355,22.593298562500003
True,piano,80,68,22.605622500000003,23.005270187500003
True,piano,80,66,23.028157500000002,23.2271010625
